accuracy,checkpoint,f1,loss,model_id,model_key,model_preparation_time,precision,recall,runtime,samples_per_second,seed,steps_per_second
0.9887742142679883,/home/afana01t/biohack2024/models/benchmark_260507/pubmedbert/seed-42/checkpoint-7000,0.9194366197183099,0.1506350189447403,microsoft/BiomedNLP-PubMedBERT-base-uncased-abstract-fulltext,pubmedbert,,0.9207334273624823,0.9181434599156119,7.1164,310.127,42,38.783
0.9890953680860692,/home/afana01t/biohack2024/models/benchmark_260507/pubmedbert/seed-123/checkpoint-7000,0.9213893967093236,0.15287303924560547,microsoft/BiomedNLP-PubMedBERT-base-uncased-abstract-fulltext,pubmedbert,,0.9212598425196851,0.9215189873417722,7.1166,310.12,123,38.783
0.9888618016729195,/home/afana01t/biohack2024/models/benchmark_260507/pubmedbert/seed-2024/checkpoint-4000,0.9177659275891104,0.14779047667980194,microsoft/BiomedNLP-PubMedBERT-base-uncased-abstract-fulltext,pubmedbert,,0.9157098851862223,0.919831223628692,7.2501,304.411,2024,38.069
0.9892705428959315,/home/afana01t/biohack2024/models/benchmark_260507/pubmedbert/seed-3407/checkpoint-5000,0.9218291148091177,0.15157821774482727,microsoft/BiomedNLP-PubMedBERT-base-uncased-abstract-fulltext,pubmedbert,,0.9165739710789766,0.9271448663853727,7.3314,301.034,3407,37.646
0.9879713297227859,/home/afana01t/biohack2024/models/benchmark_260507/pubmedbert/seed-777/checkpoint-2500,0.9115589140778058,0.1551956981420517,microsoft/BiomedNLP-PubMedBERT-base-uncased-abstract-fulltext,pubmedbert,,0.9069896964633807,0.9161744022503516,7.1823,307.281,777,38.428
0.9889201932762068,/home/afana01t/biohack2024/models/sweep/260616-09:29/checkpoint-2500,0.9184417040358746,0.0565478689968586,models/sweep/260616-09:29/checkpoint-2500,bioformer_baseline,0.0037,0.9151075118681933,0.9218002812939522,5.9449,371.241,baseline,23.213
